temperature_K,internal_energy_J,constant_volume_heat_capacity_J/K
10.0,-1.0040511197821312e-21,3.9524145763141126e-23
14.974874371859297,-8.074234599554492e-22,5.063122483959984e-23
19.949748743718594,-5.002831540413891e-22,6.444971899215717e-23
24.924623115577887,-1.6616494938021712e-22,6.737651959515818e-23
29.899497487437184,1.70096287156667e-22,6.614624263798911e-23
34.87437185929648,4.919735452088204e-22,6.27376148790999e-23
39.849246231155774,7.94319791983892e-22,5.892883624480904e-23
44.824120603015075,1.078300659604408e-21,5.555646321639393e-23
49.79899497487437,1.3470926420766556e-21,5.2828288144247444e-23
54.77386934673366,1.6039288532004374e-21,5.0695654899323315e-23
59.74874371859296,1.851501670723189e-21,4.904352721402625e-23
64.72361809045225,2.0918996264857232e-21,4.77600788252173e-23
69.69849246231155,2.326702455014296e-21,4.67548418760204e-23
74.67336683417085,2.557098555704419e-21,4.595924017225403e-23
79.64824120603015,2.783985347180442e-21,4.5322502698610095e-23
84.62311557788944,3.008046069992097e-21,4.4807244313849273e-23
89.59798994974874,3.2298061700016556e-21,4.4385847154421696e-23
94.57286432160804,3.4496740969556905e-21,4.4037755516913366e-23
99.54773869346732,3.667970772632251e-21,4.3747524294418636e-23
104.52261306532662,3.884950971844881e-21,4.350342858175045e-23
109.49748743718592,4.100818956510974e-21,4.3296474503836415e-23
114.47236180904521,4.315740014646871e-21,4.3119692446153665e-23
119.44723618090451,4.529849062256623e-21,4.2967628354969045e-23
124.42211055276381,4.743257120892292e-21,4.2835974342932503e-23
129.3969849246231,4.956056244161178e-21,4.272129787101497e-23
134.3718592964824,5.168323300714452e-21,4.262084124991945e-23
139.3467336683417,5.380122905843794e-21,4.253237176960228e-23
144.321608040201,5.5915097132964246e-21,4.2454068596984656e-23
149.2964824120603,5.802530221532385e-21,4.2384436643713e-23
154.27135678391957,6.013224208545428e-21,4.232224041965359e-23
159.24623115577887,6.22362587997919e-21,4.2266452792804003e-23
164.22110552763817,6.433764794122071e-21,4.2216214988401273e-23
169.19597989949747,6.64366661202459e-21,4.217080514456398e-23
174.17085427135677,6.853353709630798e-21,4.212961340178161e-23
179.14572864321607,7.062845680042317e-21,4.2092122046791886e-23
184.12060301507537,7.272159748086316e-21,4.205788958630577e-23
189.09547738693465,7.481311114117117e-21,4.2026537884644615e-23
194.07035175879395,7.6903132406069e-21,4.1997741739996554e-23
199.04522613065325,7.899178092233667e-21,4.1971220370003096e-23
204.02010050251255,8.107916337755676e-21,4.1946730426980546e-23
208.99497487437185,8.316537520602618e-21,4.1924060252889885e-23
213.96984924623115,8.52505020358845e-21,4.1903025111117996e-23
218.94472361809042,8.733462092059973e-21,4.1883463233400757e-23
223.91959798994972,8.941780139277562e-21,4.186523251155406e-23
228.89447236180902,9.150010636647293e-21,4.184820772189588e-23
233.86934673366832,9.358159291485371e-21,4.1832278197503793e-23
238.84422110552762,9.566231294089795e-21,4.181734586592265e-23
243.81909547738692,9.774231375980482e-21,4.1803323569943814e-23
248.7939698492462,9.982163860263103e-21,4.1790133644199813e-23
253.7688442211055,1.019003270570669e-20,4.17777067190851e-23
258.7437185929648,1.0397841545206764e-20,4.176598067147331e-23
263.7185929648241,1.0605593719422857e-20,4.175489974267783e-23
268.6934673366834,1.081329230646557e-20,4.174441376728651e-23
273.6683417085427,1.1020940147861187e-20,4.173447750977284e-23
278.643216080402,1.1228539871638184e-20,4.172505010516826e-23
283.6180904522613,1.1436093912726679e-20,4.1716094544952106e-23
288.5929648241206,1.1643604530929668e-20,4.170757725585336e-23
293.5678391959799,1.1851073827131653e-20,4.169946771829307e-23
298.54271356783914,1.2058503757473487e-20,4.1691738138096274e-23
303.51758793969844,1.2265896146294619e-20,4.168436315908715e-23
308.49246231155774,1.2473252697448324e-20,4.167731960789207e-23
313.46733668341705,1.2680575004704802e-20,4.167058626599502e-23
318.44221105527635,1.2887864560798425e-20,4.166414367896036e-23
323.41708542713565,1.309512276593265e-20,4.1657973990431374e-23
328.39195979899495,1.3302350935175582e-20,4.165206075630587e-23
333.36683417085425,1.3509550305115994e-20,4.164638884067634e-23
338.34170854271355,1.3716722040223517e-20,4.164094428823109e-23
343.31658291457285,1.3923867238235078e-20,4.163571419541684e-23
348.29145728643215,1.4130986935233193e-20,4.1630686650975676e-23
353.26633165829145,1.4338082110440766e-20,4.162585059967437e-23
358.24120603015075,1.454515368994352e-20,4.162119580142334e-23
363.21608040201,1.4752202551078044e-20,4.1616712761903673e-23
368.1909547738693,1.4959229525463968e-20,4.1612392640892297e-23
373.1658291457286,1.5166235402479886e-20,4.160822723863715e-23
378.1407035175879,1.5373220932159957e-20,4.160420890170647e-23
383.1155778894472,1.5580186827733047e-20,4.1600330492016714e-23
388.0904522613065,1.578713376821118e-20,4.1596585357102285e-23
393.0653266331658,1.599406240063286e-20,4.159296730781691e-23
398.0402010050251,1.6200973342429658e-20,4.158947052665955e-23
403.0150753768844,1.640786718275741e-20,4.158608957025365e-23
407.9899497487437,1.6614744484887458e-20,4.1582819371823594e-23
412.964824120603,1.6821605787562492e-20,4.157965516191108e-23
417.9396984924623,1.7028451606598937e-20,4.157659247333007e-23
422.9145728643216,1.7235282436292107e-20,4.157362710895673e-23
427.88944723618084,1.7442098750698103e-20,4.157075513925243e-23
432.86432160804014,1.7648901005014317e-20,4.1567972865099895e-23
437.83919597989944,1.785568963649156e-20,4.1565276802936094e-23
442.81407035175874,1.8062465065666647e-20,4.156266366988705e-23
447.78894472361804,1.8269227697126618e-20,4.1560130386245585e-23
452.76381909547734,1.8475977920765973e-20,4.155767405564891e-23
457.73869346733665,1.8682716112353676e-20,4.1555291922960584e-23
462.71356783919595,1.8889442634371312e-20,4.155298140152428e-23
467.68844221105525,1.9096157836851255e-20,4.155074005581839e-23
472.66331658291455,1.930286205804227e-20,4.154856556924937e-23
477.63819095477385,1.9509555624927205e-20,4.1546455759015614e-23
482.61306532663315,1.9716238854036494e-20,4.1544408561241696e-23
487.5879396984924,1.992291205181795e-20,4.154242201363709e-23
492.5628140703517,2.0129575515277703e-20,4.154049426540231e-23
497.537688442211,2.033622953244859e-20,4.1538623567325766e-23
502.5125628140703,2.05428743829325e-20,4.153680822717633e-23
507.4874371859296,2.0749510337925018e-20,4.1535046659265164e-23
512.4623115577889,2.0956137661250816e-20,4.153333738939596e-23
517.4371859296482,2.1162756609437598e-20,4.1531678970625446e-23
522.4120603015075,2.1369367431913322e-20,4.153007001052095e-23
527.3869346733668,2.1575970371351324e-20,4.1528509230618946e-23
532.3618090452261,2.178256566445918e-20,4.152699539209923e-23
537.3366834170854,2.1989153541584273e-20,4.1525527305694426e-23
542.3115577889447,2.2195734227601266e-20,4.1524103851510494e-23
547.286432160804,2.2402307941714882e-20,4.152272394434121e-23
552.2613065326633,2.260887489800225e-20,4.152138654357728e-23
557.2361809045226,2.2815435305314293e-20,4.152009066807288e-23
562.2110552763819,2.3021989367965988e-20,4.1518835356503086e-23
567.1859296482412,2.322853728524332e-20,4.1517619702051687e-23
572.1608040201005,2.3435079252438666e-20,4.1516442827634386e-23
577.1356783919598,2.364161546011124e-20,4.1515303890852433e-23
582.1105527638191,2.384814609517177e-20,4.151420212859333e-23
587.0854271356783,2.4054671340586686e-20,4.1513136698458326e-23
592.0603015075376,2.426119137488507e-20,4.151210683733379e-23
597.0351758793969,2.446770637344056e-20,4.1511111896079024e-23
602.0100502512562,2.4674216508323444e-20,4.1510151121490654e-23
606.9849246231155,2.488072194741318e-20,4.1509223834695305e-23
611.9597989949748,2.5087222856025436e-20,4.1508329391505897e-23
616.9346733668341,2.5293719395630176e-20,4.1507467147736104e-23
621.9095477386934,2.5500211725133568e-20,4.150663651370793e-23
626.8844221105527,2.5706700000138426e-20,4.150583685514456e-23
631.859296482412,2.591318437324003e-20,4.150506759723377e-23
636.8341708542713,2.6119664994321956e-20,4.1504328184983867e-23
641.8090452261306,2.6326142010457456e-20,4.1503618063402773e-23
646.7839195979899,2.6532615566008076e-20,4.1502936682455056e-23
651.7587939698492,2.673908580257435e-20,4.150228353174671e-23
656.7336683417085,2.6945552859439527e-20,4.1501658110793995e-23
661.7085427135678,2.715201687322446e-20,4.150105991415841e-23
666.6834170854271,2.7358477978183413e-20,4.1500488436400715e-23
671.6582914572864,2.7564936305908246e-20,4.149994319685882e-23
676.6331658291457,2.7771391985870753e-20,4.1499423749557685e-23
681.608040201005,2.7977845145225453e-20,4.149892963861127e-23
686.5829145728643,2.818429590890819e-20,4.149846039326775e-23
691.5577889447236,2.8390744399389625e-20,4.1498015572506844e-23
696.5326633165829,2.859719073721756e-20,4.149759475513031e-23
701.5075376884422,2.8803635040671825e-20,4.149719751002776e-23
706.4824120603015,2.90100774260108e-20,4.149682342095683e-23
711.4572864321607,2.92165180073728e-20,4.149647209644893e-23
716.43216080402,2.942295689712119e-20,4.1496143115305075e-23
721.4070351758793,2.962939420520347e-20,4.149583604641637e-23
726.3819095477386,2.9835830039693577e-20,4.149555053300279e-23
731.3567839195979,3.004226450698913e-20,4.1495286198463034e-23
736.3316582914572,3.024869771141698e-20,4.149504262655285e-23
741.3065326633165,3.045512975523322e-20,4.1494819470402485e-23
746.2814070351758,3.0661560739313444e-20,4.1494616363321265e-23
751.2562814070351,3.086799076226526e-20,4.149443289897634e-23
756.2311557788944,3.107441992092135e-20,4.1494268750319233e-23
761.2060301507537,3.1280848310635273e-20,4.149412358039044e-23
766.180904522613,3.1487276024887045e-20,4.149399701258865e-23
771.1557788944723,3.169370315528314e-20,4.1493888660401926e-23
776.1306532663316,3.1900129791457877e-20,4.1493798226512946e-23
781.1055276381909,3.21065560220595e-20,4.1493725393784244e-23
786.0804020100502,3.231298193356689e-20,4.149366977570425e-23
791.0552763819095,3.251940761078259e-20,4.149363108486591e-23
796.0301507537688,3.2725833137325855e-20,4.1493608964488825e-23
801.0050251256281,3.293225859444936e-20,4.1493603067703605e-23
805.9798994974874,3.31386840623211e-20,4.149361314674651e-23
810.9547738693467,3.334510961972855e-20,4.149363886465804e-23
815.929648241206,3.355153534348704e-20,4.14936798844787e-23
820.9045226130653,3.37579613090314e-20,4.1493735879160375e-23
825.8793969849246,3.396438758992291e-20,4.1493806561296396e-23
830.8542713567839,3.4170814258736765e-20,4.149389168312302e-23
835.8291457286432,3.437724138656906e-20,4.1493990877950707e-23
840.8040201005024,3.458366904234652e-20,4.1494103858369774e-23
845.7788944723617,3.4790097294305605e-20,4.1494230376619114e-23
850.753768844221,3.499652620890785e-20,4.149437010564874e-23
855.7286432160803,3.5202955851135676e-20,4.149452279769453e-23
860.7035175879396,3.540938628498542e-20,4.1494688135619774e-23
865.6783919597989,3.5615817572284053e-20,4.1494865841927307e-23
870.6532663316582,3.582224977426691e-20,4.14950556589435e-23
875.6281407035175,3.6028682950197156e-20,4.1495257279439645e-23
880.6030150753768,3.623511715825329e-20,4.149547049529494e-23
885.5778894472361,3.644155245562773e-20,4.1495695038924733e-23
890.5527638190954,3.664798889783656e-20,4.149593058327829e-23
895.5276381909547,3.685442653881814e-20,4.1496176910324547e-23
900.502512562814,3.706086543191919e-20,4.149643377230013e-23
905.4773869346733,3.726730562861289e-20,4.149670089170939e-23
910.4522613065326,3.747374717948494e-20,4.1496978050518236e-23
915.4271356783919,3.7680190133839145e-20,4.1497264961320754e-23
920.4020100502512,3.7886634539401595e-20,4.149756140608512e-23
925.3768844221105,3.809308044330673e-20,4.149786716677876e-23
930.3517587939698,3.829952789111126e-20,4.149818198572805e-23
935.3266331658291,3.850597692738583e-20,4.1498505605257106e-23
940.3015075376884,3.871242759512336e-20,4.149883780733335e-23
945.2763819095477,3.8918879936725125e-20,4.149917837392496e-23
950.251256281407,3.9125333993014675e-20,4.1499527096909633e-23
955.2261306532663,3.9331789804322523e-20,4.1499883748346033e-23
960.2010050251256,3.953824740920425e-20,4.1500248040826733e-23
965.1758793969848,3.974470684513074e-20,4.150061984551379e-23
970.1507537688441,3.995116814937568e-20,4.150099895428414e-23
975.1256281407034,4.01576313573392e-20,4.1501385079734876e-23
980.1005025125627,4.036409650343535e-20,4.1501778053384736e-23
985.075376884422,4.057056362138795e-20,4.1502177686932694e-23
990.0502512562813,4.0777032743737495e-20,4.1502583782167455e-23
995.0251256281406,4.098350390223565e-20,3.107539551338928e-23
1000.0,4.10862251212074e-20,2.064800260139248e-23
